Table 1,,,,
No.,"No.,Interrogatory Text,Response",No.,,
1.1,"1.1,""State the name, ADDRESS, telephone number, and relationship to you of each PERSON who prepared or assisted in the preparation of the responses to these interrogatories.",1.1,James Burbank (Plaintiff) prepared these responses. Address/phone already known to Defendants; withheld here to protect privacy.,
2.1,"2.1,""State your name; every name you have used in the past; and the dates you used each name.""",2.1,My legal name is James Burbank. No other names used.,
2.2,"2.2,""State the date and place of your birth”",2.2,Objection: Overbroad and irrelevant to a landlord-tenant habitability dispute. No bearing on the claims.,
2.3,"2.3,""At the time of the INCIDENT, did you have a driver's license? If so, state: (a) the state/entity, (b) the license number and type, (c) date of issuance, (d) all restrictions.""",2.3,Objection: Irrelevant and not reasonably calculated to lead to admissible evidence in this dispute.,
2.4,"2.4,""At the time of the INCIDENT, did you have any other permit or license for the operation of a motor vehicle? If so, identify it.""",2.4,"Objection: Same as above; irrelevant to the claims of habitability/retaliation.""",
2.5,State: (a) your present residence ADDRESS; (b) your residence ADDRESSES for the past five years; and (c) the dates you lived at each ADDRESS.,2.5,Current: 518 N. Stoneman Ave. since 9/8/2023. Overbroad as to prior addresses; object for privacy and lack of relevance.,
2.6,"State: (a) the name, ADDRESS, and telephone number of your present employer or place of self-employment; and (b) the name, ADDRESS, dates of employment, job title, and nature of work for each employer or self-employment you have had from five years before the INCIDENT until today.",2.6,Objection: Irrelevant. No lost wages/earnings claims. No nexus to alleged habitability or ESA violations.,
2.7,"State: (a) the name and ADDRESS of each school or other academic or vocational institution you have attended, beginning with high school; (b) the dates you attended; (c) the highest grade level you have completed; and (d) the degrees received.",2.7,Objection: Overbroad and irrelevant to habitability/retaliation. No educational background at issue.,
2.8,"Have you ever been convicted of a felony? If so, for each conviction state: (a) the city and state where you were convicted; (b) the date of conviction; (c) the offense; and (d) the court and case number.",2.8,"No, I have not been convicted of a felony.",
2.9,"Can you speak English with ease? If not, what language and dialect do you normally use?",2.9,"Yes, I speak and understand English fluently.",
2.1,"Can you read and write English with ease? If not, what language and dialect do you normally use?",2.1,"Yes, I read and write English fluently.",
2.11,"At the time of the INCIDENT were you acting as an agent or employee for any PERSON? If so, state: (a) the name, ADDRESS, and telephone number of that PERSON; and (b) a description of your duties.",2.11,"No, I was acting solely on my own behalf as a tenant.",
2.12,"At the time of the INCIDENT did you or any other person have any physical, emotional, or mental disability or condition that may have contributed to the occurrence of the INCIDENT? If so, for each person state: (a) the name, ADDRESS, and telephone number; (b) the nature of the disability or condition; and (c) the manner in which the disability or condition contributed to the occurrence of the INCIDENT.",2.12,No disability or condition contributed to the landlord’s habitability or retaliation issues.,
2.13,"Within 24 hours before the INCIDENT did you or any person involved in the INCIDENT use or take any of the following substances: alcoholic beverage, marijuana, or other drug or medication of any kind (prescription or not)? If so, for each person state: (a) the name, ADDRESS, and telephone number; (b) the nature or description of each substance; (c) the quantity of each substance used or taken; (d) the date and time of day when each substance was used or taken; (e) the ADDRESS where each substance was used or taken; (f) the name, ADDRESS, and telephone number of each person who was present when each substance was used or taken; and (g) the name, ADDRESS, and telephone number of any HEALTH CARE PROVIDER who prescribed or furnished the substance and the condition for which it was prescribed or furnished.",2.13,Objection: Irrelevant to a landlord-tenant habitability and retaliation dispute; not calculated to lead to admissible evidence.,
3.1,"Are you a corporation? If so, state: (a) the name stated in the current articles of incorporation; (b) all other names used by the corporation during the past 10 years and the dates each was used; (c) the date and place of incorporation; (d) the ADDRESS of the principal place of business; and (e) whether you are qualified to do business in California.",3.1,Not applicable. Plaintiff is not a partnership.,
3.2,"Are you a partnership? If so, state: (a) the current partnership name; (b) all other names used by the partnership during the past 10 years and the dates each was used; (c) whether you are a limited partnership and, if so, under the laws of what jurisdiction; (d) the name and ADDRESS of each general partner; and (e) the ADDRESS of the principal place of business.",3.2,Not applicable. Plaintiff is not a partnership.,
3.3,"Are you a limited liability company? If so, state: (a) the name stated in the current articles of organization; (b) all other names used by the company during the past 10 years and the date each was used; (c) the date and place of filing of the articles of organization; (d) the ADDRESS of the principal place of business; and (e) whether you are qualified to do business in California.",3.3,Not applicable. Plaintiff is not a limited liability company.,
3.4,"Are you a joint venture? If so, state: (a) the current joint venture name; (b) all other names used by the joint venture during the past 10 years and the dates each was used; (c) the name and ADDRESS of each joint venturer; and (d) the ADDRESS of the principal place of business.",3.4,Not applicable. Plaintiff is not a joint venture.,
3.5,"Are you an unincorporated association? If so, state: (a) the current unincorporated association name; (b) all other names used by the unincorporated association during the past 10 years and the dates each was used; and (c) the ADDRESS of the principal place of business.",3.5,Not applicable. Plaintiff is not an unincorporated association.,
